"","date","site","site_name","variable","value"
"1",2016-01-11 00:00:00,"chbo","Chilbolton Observatory","nox",NA
"2",2016-01-11 01:00:00,"chbo","Chilbolton Observatory","nox",NA
"3",2016-01-11 02:00:00,"chbo","Chilbolton Observatory","nox",NA
"4",2016-01-11 03:00:00,"chbo","Chilbolton Observatory","nox",NA
"5",2016-01-11 04:00:00,"chbo","Chilbolton Observatory","nox",NA
"6",2016-01-11 05:00:00,"chbo","Chilbolton Observatory","nox",NA
"7",2016-01-11 06:00:00,"chbo","Chilbolton Observatory","nox",NA
"8",2016-01-11 07:00:00,"chbo","Chilbolton Observatory","nox",NA
"9",2016-01-11 08:00:00,"chbo","Chilbolton Observatory","nox",NA
"10",2016-01-11 09:00:00,"chbo","Chilbolton Observatory","nox",NA
"11",2016-01-11 10:00:00,"chbo","Chilbolton Observatory","nox",NA
"12",2016-01-11 11:00:00,"chbo","Chilbolton Observatory","nox",NA
"13",2016-01-11 12:00:00,"chbo","Chilbolton Observatory","nox",NA
"14",2016-01-11 13:00:00,"chbo","Chilbolton Observatory","nox",NA
"15",2016-01-11 14:00:00,"chbo","Chilbolton Observatory","nox",NA
"16",2016-01-11 15:00:00,"chbo","Chilbolton Observatory","nox",NA
"17",2016-01-11 16:00:00,"chbo","Chilbolton Observatory","nox",NA
"18",2016-01-11 17:00:00,"chbo","Chilbolton Observatory","nox",NA
"19",2016-01-11 18:00:00,"chbo","Chilbolton Observatory","nox",NA
"20",2016-01-11 19:00:00,"chbo","Chilbolton Observatory","nox",NA
"21",2016-01-11 20:00:00,"chbo","Chilbolton Observatory","nox",NA
"22",2016-01-11 21:00:00,"chbo","Chilbolton Observatory","nox",NA
"23",2016-01-11 22:00:00,"chbo","Chilbolton Observatory","nox",NA
"24",NA,"chbo","Chilbolton Observatory","nox",NA
"25",2016-01-12 00:00:00,"chbo","Chilbolton Observatory","nox",NA
"26",2016-01-12 01:00:00,"chbo","Chilbolton Observatory","nox",NA
"27",2016-01-12 02:00:00,"chbo","Chilbolton Observatory","nox",NA
"28",2016-01-12 03:00:00,"chbo","Chilbolton Observatory","nox",NA
"29",2016-01-12 04:00:00,"chbo","Chilbolton Observatory","nox",NA
"30",2016-01-12 05:00:00,"chbo","Chilbolton Observatory","nox",NA
"31",2016-01-12 06:00:00,"chbo","Chilbolton Observatory","nox",NA
"32",2016-01-12 07:00:00,"chbo","Chilbolton Observatory","nox",NA
"33",2016-01-12 08:00:00,"chbo","Chilbolton Observatory","nox",NA
"34",2016-01-12 09:00:00,"chbo","Chilbolton Observatory","nox",NA
"35",2016-01-12 10:00:00,"chbo","Chilbolton Observatory","nox",NA
"36",2016-01-12 11:00:00,"chbo","Chilbolton Observatory","nox",NA
"37",2016-01-12 12:00:00,"chbo","Chilbolton Observatory","nox",NA
"38",2016-01-12 13:00:00,"chbo","Chilbolton Observatory","nox",NA
"39",2016-01-12 14:00:00,"chbo","Chilbolton Observatory","nox",NA
"40",2016-01-12 15:00:00,"chbo","Chilbolton Observatory","nox",NA
"41",2016-01-12 16:00:00,"chbo","Chilbolton Observatory","nox",NA
"42",2016-01-12 17:00:00,"chbo","Chilbolton Observatory","nox",NA
"43",2016-01-12 18:00:00,"chbo","Chilbolton Observatory","nox",NA
"44",2016-01-12 19:00:00,"chbo","Chilbolton Observatory","nox",NA
"45",2016-01-12 20:00:00,"chbo","Chilbolton Observatory","nox",NA
"46",2016-01-12 21:00:00,"chbo","Chilbolton Observatory","nox",NA
"47",2016-01-12 22:00:00,"chbo","Chilbolton Observatory","nox",NA
"48",NA,"chbo","Chilbolton Observatory","nox",NA
"49",2016-01-13 00:00:00,"chbo","Chilbolton Observatory","nox",NA
"50",2016-01-13 01:00:00,"chbo","Chilbolton Observatory","nox",NA
"51",2016-01-13 02:00:00,"chbo","Chilbolton Observatory","nox",NA
"52",2016-01-13 03:00:00,"chbo","Chilbolton Observatory","nox",NA
"53",2016-01-13 04:00:00,"chbo","Chilbolton Observatory","nox",NA
"54",2016-01-13 05:00:00,"chbo","Chilbolton Observatory","nox",NA
"55",2016-01-13 06:00:00,"chbo","Chilbolton Observatory","nox",NA
"56",2016-01-13 07:00:00,"chbo","Chilbolton Observatory","nox",NA
"57",2016-01-13 08:00:00,"chbo","Chilbolton Observatory","nox",NA
"58",2016-01-13 09:00:00,"chbo","Chilbolton Observatory","nox",NA
"59",2016-01-13 10:00:00,"chbo","Chilbolton Observatory","nox",NA
"60",2016-01-13 11:00:00,"chbo","Chilbolton Observatory","nox",NA
"61",2016-01-13 12:00:00,"chbo","Chilbolton Observatory","nox",NA
"62",2016-01-13 13:00:00,"chbo","Chilbolton Observatory","nox",NA
"63",2016-01-13 14:00:00,"chbo","Chilbolton Observatory","nox",NA
"64",2016-01-13 15:00:00,"chbo","Chilbolton Observatory","nox",NA
"65",2016-01-13 16:00:00,"chbo","Chilbolton Observatory","nox",NA
"66",2016-01-13 17:00:00,"chbo","Chilbolton Observatory","nox",NA
"67",2016-01-13 18:00:00,"chbo","Chilbolton Observatory","nox",NA
"68",2016-01-13 19:00:00,"chbo","Chilbolton Observatory","nox",NA
"69",2016-01-13 20:00:00,"chbo","Chilbolton Observatory","nox",NA
"70",2016-01-13 21:00:00,"chbo","Chilbolton Observatory","nox",NA
"71",2016-01-13 22:00:00,"chbo","Chilbolton Observatory","nox",NA
"72",NA,"chbo","Chilbolton Observatory","nox",NA
"73",2016-01-14 00:00:00,"chbo","Chilbolton Observatory","nox",NA
"74",2016-01-14 01:00:00,"chbo","Chilbolton Observatory","nox",NA
"75",2016-01-14 02:00:00,"chbo","Chilbolton Observatory","nox",NA
"76",2016-01-14 03:00:00,"chbo","Chilbolton Observatory","nox",NA
"77",2016-01-14 04:00:00,"chbo","Chilbolton Observatory","nox",NA
"78",2016-01-14 05:00:00,"chbo","Chilbolton Observatory","nox",NA
"79",2016-01-14 06:00:00,"chbo","Chilbolton Observatory","nox",NA
"80",2016-01-14 07:00:00,"chbo","Chilbolton Observatory","nox",NA
"81",2016-01-14 08:00:00,"chbo","Chilbolton Observatory","nox",NA
"82",2016-01-14 09:00:00,"chbo","Chilbolton Observatory","nox",NA
"83",2016-01-14 10:00:00,"chbo","Chilbolton Observatory","nox",NA
"84",2016-01-14 11:00:00,"chbo","Chilbolton Observatory","nox",NA
"85",2016-01-14 12:00:00,"chbo","Chilbolton Observatory","nox",NA
"86",2016-01-14 13:00:00,"chbo","Chilbolton Observatory","nox",NA
"87",2016-01-14 14:00:00,"chbo","Chilbolton Observatory","nox",NA
"88",2016-01-14 15:00:00,"chbo","Chilbolton Observatory","nox",NA
"89",2016-01-14 16:00:00,"chbo","Chilbolton Observatory","nox",NA
"90",2016-01-14 17:00:00,"chbo","Chilbolton Observatory","nox",NA
"91",2016-01-14 18:00:00,"chbo","Chilbolton Observatory","nox",NA
"92",2016-01-14 19:00:00,"chbo","Chilbolton Observatory","nox",NA
"93",2016-01-14 20:00:00,"chbo","Chilbolton Observatory","nox",NA
"94",2016-01-14 21:00:00,"chbo","Chilbolton Observatory","nox",NA
"95",2016-01-14 22:00:00,"chbo","Chilbolton Observatory","nox",NA
"96",NA,"chbo","Chilbolton Observatory","nox",NA
"97",2016-01-15 00:00:00,"chbo","Chilbolton Observatory","nox",NA
"98",2016-01-15 01:00:00,"chbo","Chilbolton Observatory","nox",NA
"99",2016-01-15 02:00:00,"chbo","Chilbolton Observatory","nox",NA
"100",2016-01-15 03:00:00,"chbo","Chilbolton Observatory","nox",NA
"101",2016-01-15 04:00:00,"chbo","Chilbolton Observatory","nox",NA
"102",2016-01-15 05:00:00,"chbo","Chilbolton Observatory","nox",NA
"103",2016-01-15 06:00:00,"chbo","Chilbolton Observatory","nox",NA
"104",2016-01-15 07:00:00,"chbo","Chilbolton Observatory","nox",NA
"105",2016-01-15 08:00:00,"chbo","Chilbolton Observatory","nox",NA
"106",2016-01-15 09:00:00,"chbo","Chilbolton Observatory","nox",NA
