"","site_network_id","site","variable","date_started","date_ended","data_table","site_name","latitude","longitude","altitude","uka_site_id","eu_site_id","old_eoi_code","network_parameter_id","network_id","network_name","site_type","site_type_eu","region","agglomeration","database_name","site_friendly","variable_friendly"
"1",75662,"CHBO","NOXasNO2",2016-01-11,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,10,"rural","Automatic Rural Monitoring Network","rural","rural","South East",NA,"archive","chbo","nox"
"2",75674,"CHBO","ETHANE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,328,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","ethane"
"3",75675,"CHBO","ETHENE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,329,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","ethene"
"4",75676,"CHBO","ETHYNE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,330,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","ethyne"
"5",75677,"CHBO","PROPANE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,331,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","propane"
"6",75678,"CHBO","PROPENE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,332,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","propene"
"7",75679,"CHBO","iBUTANE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,333,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","ibutane"
"8",75680,"CHBO","nBUTANE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,334,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","nbutane"
"9",75681,"CHBO","1BUTENE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,336,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","1butene"
"10",75682,"CHBO","t2BUTENE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,335,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","t2butene"
"11",75683,"CHBO","c2BUTENE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,337,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","c2butene"
"12",75684,"CHBO","iPENTANE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,338,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","ipentane"
"13",75685,"CHBO","nPENTANE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,339,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","npentane"
"14",75686,"CHBO","13BDIENE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,340,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","13bdiene"
"15",75687,"CHBO","t2PENTEN",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,341,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","t2penten"
"16",75688,"CHBO","1PENTEN",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,324,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","1penten"
"17",75689,"CHBO","2MEPENT",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,343,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","2mepent"
"18",75690,"CHBO","ISOPRENE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,345,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","isoprene"
"19",75691,"CHBO","nHEXANE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,346,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","nhexane"
"20",75692,"CHBO","nHEPTANE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,347,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","nheptane"
"21",75693,"CHBO","iOCTANE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,325,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","ioctane"
"22",75694,"CHBO","nOCTANE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,326,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","noctane"
"23",75695,"CHBO","BENZENE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,348,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","benzene"
"24",75696,"CHBO","TOLUENE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,349,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","toluene"
"25",75697,"CHBO","ETHBENZ",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,350,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","ethbenz"
"26",75698,"CHBO","mpXYLENE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,351,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","mpxylene"
"27",75699,"CHBO","oXYLENE",2016-01-19,NA,"measurement","Chilbolton Observatory",51.149617,-1.438228,"78","UKA00614","GB1055A",NA,352,"hc","Automatic Hydrocarbon Monitoring Network","rural","rural","South East",NA,"archive","chbo","oxylene"
